Frequency,Angle,Length,Velocity,Thickness,Sound Pressure
1000,0,0.3048,71.3,0.00266337,125.201
6300,0,0.3048,71.3,0.00266337,119.541
2500,0,0.3048,55.5,0.00283081,124.106
200,0,0.3048,31.7,0.00331266,117.195
250,0,0.3048,31.7,0.00331266,118.595
400,0,0.3048,31.7,0.00331266,125.045
800,0,0.3048,31.7,0.00331266,129.235
16000,1.5,0.3048,71.3,0.00336729,106.582
1000,1.5,0.3048,39.6,0.00392107,127.581
2500,1.5,0.3048,39.6,0.00392107,120.981
800,3,0.3048,71.3,0.00425727,129.494
1250,3,0.3048,71.3,0.00425727,127.634
3150,3,0.3048,55.5,0.00452492,120.189
10000,3,0.3048,55.5,0.00452492,112.169
1600,3,0.3048,39.6,0.00495741,122.782
1000,3,0.3048,31.7,0.00529514,126.838
315,4,0.3048,71.3,0.00497773,128.175
500,4,0.3048,71.3,0.00497773,130.715
630,4,0.3048,71.3,0.00497773,131.615
1600,4,0.3048,71.3,0.00497773,126.645
2000,4,0.3048,71.3,0.00497773,124.395
250,4,0.3048,39.6,0.00579636,123.543
500,4,0.3048,39.6,0.00579636,130.173
1000,4,0.3048,39.6,0.00579636,128.723
4000,4,0.3048,39.6,0.00579636,115.863
20000,0,0.2286,71.3,0.00214345,114.474
1250,0,0.2286,55.5,0.00229336,127.91
315,0,0.2286,39.6,0.00253511,121.055
1250,0,0.2286,39.6,0.00253511,129.395
2000,0,0.2286,39.6,0.00253511,125.305
6300,0,0.2286,39.6,0.00253511,117.465
1250,0,0.2286,31.7,0.0027238,128.805
400,2,0.2286,71.3,0.00293031,125.116
1600,2,0.2286,71.3,0.00293031,127.796
4000,2,0.2286,71.3,0.00293031,124.086
3150,2,0.2286,55.5,0.00313525,123.742
4000,2,0.2286,55.5,0.00313525,122.232
800,2,0.2286,39.6,0.00346574,129.037
2500,2,0.2286,39.6,0.00346574,121.397
1000,2,0.2286,31.7,0.00372371,130.307
5000,2,0.2286,31.7,0.00372371,118.267
6300,2,0.2286,31.7,0.00372371,115.137
500,4,0.2286,55.5,0.0042862,127.314
400,4,0.2286,39.6,0.00473801,123.879
1000,4,0.2286,39.6,0.00473801,129.969
3150,4,0.2286,39.6,0.00473801,120.419
5000,4,0.2286,31.7,0.00509068,115.969
400,5.3,0.2286,71.3,0.0051942,127.7
800,5.3,0.2286,71.3,0.0051942,133.48
1250,5.3,0.2286,71.3,0.0051942,133.38
2000,5.3,0.2286,71.3,0.0051942,125.89
3150,5.3,0.2286,39.6,0.00614329,118.441
6300,7.3,0.2286,71.3,0.0104404,115.818
500,7.3,0.2286,55.5,0.0111706,133.174
630,7.3,0.2286,55.5,0.0111706,130.934
4000,7.3,0.2286,39.6,0.0123481,114.079
5000,7.3,0.2286,39.6,0.0123481,111.959
200,7.3,0.2286,31.7,0.0132672,128.679
315,7.3,0.2286,31.7,0.0132672,130.239
800,7.3,0.2286,31.7,0.0132672,123.209
1000,7.3,0.2286,31.7,0.0132672,119.099
1000,0,0.1524,71.3,0.0015988,127.307
4000,0,0.1524,71.3,0.0015988,128.857
6300,0,0.1524,55.5,0.00172668,123.303
8000,0,0.1524,55.5,0.00172668,121.903
12500,0,0.1524,55.5,0.00172668,117.093
1600,0,0.1524,39.6,0.00193287,131.013
4000,0,0.1524,39.6,0.00193287,125.343
10000,0,0.1524,39.6,0.00193287,115.413
800,0,0.1524,31.7,0.00209405,129.117
2500,0,0.1524,31.7,0.00209405,125.867
4000,0,0.1524,31.7,0.00209405,123.807
5000,0,0.1524,31.7,0.00209405,122.397
1000,2.7,0.1524,71.3,0.00243851,128.774
1250,2.7,0.1524,71.3,0.00243851,130.144
10000,2.7,0.1524,71.3,0.00243851,116.724
3150,2.7,0.1524,39.6,0.00294804,122.919
2000,5.4,0.1524,71.3,0.00401199,131.111
2500,5.4,0.1524,71.3,0.00401199,127.591
2500,7.2,0.1524,71.3,0.00752039,124.353
3150,7.2,0.1524,71.3,0.00752039,116.783
1250,7.2,0.1524,39.6,0.00909175,122.428
3150,7.2,0.1524,39.6,0.00909175,111.818
10000,7.2,0.1524,39.6,0.00909175,110.868
800,9.9,0.1524,71.3,0.0193001,128.879
4000,9.9,0.1524,71.3,0.0193001,115.079
630,9.9,0.1524,55.5,0.0208438,127.315
800,9.9,0.1524,55.5,0.0208438,126.565
1600,9.9,0.1524,55.5,0.0208438,119.875
4000,9.9,0.1524,55.5,0.0208438,112.945
2500,9.9,0.1524,39.6,0.0233328,116.295
6300,9.9,0.1524,39.6,0.0233328,109.885
1250,9.9,0.1524,31.7,0.0252785,118.619
1000,12.6,0.1524,71.3,0.0483159,122.044
200,12.6,0.1524,39.6,0.0584113,114.75
315,12.6,0.1524,39.6,0.0584113,116.02
1250,12.6,0.1524,39.6,0.0584113,112.16
2500,12.6,0.1524,39.6,0.0584113,106.88
1250,0,0.0508,55.5,0.00076193,127.076
2000,0,0.0508,39.6,0.000791822,132.918
1250,0,0.0508,31.7,0.000812164,129.27
2500,0,0.0508,31.7,0.000812164,134.87
6300,0,0.0508,31.7,0.000812164,130.34
12500,0,0.0508,31.7,0.000812164,119.07
2000,4.2,0.0508,39.6,0.00152689,132.587
500,8.4,0.0508,39.6,0.00566229,122.905
2500,8.4,0.0508,39.6,0.00566229,127.465
400,8.4,0.0508,31.7,0.00580776,120.076
1600,8.4,0.0508,31.7,0.00580776,129.296
200,11.2,0.0508,71.3,0.014072,125.941
1250,11.2,0.0508,39.6,0.0150478,130.05
4000,15.4,0.0508,71.3,0.0264269,122.675
8000,15.4,0.0508,71.3,0.0264269,112.675
500,15.4,0.0508,55.5,0.0271925,127.22
200,15.4,0.0508,39.6,0.0282593,121.783
4000,15.4,0.0508,39.6,0.0282593,118.113
315,15.4,0.0508,31.7,0.0289853,122.845
2500,15.4,0.0508,31.7,0.0289853,119.945
6300,15.4,0.0508,31.7,0.0289853,108.185
400,19.7,0.0508,71.3,0.0341183,123.865
4000,0,0.0254,71.3,0.000400682,138.557
16000,0,0.0254,71.3,0.000400682,130.477
20000,0,0.0254,71.3,0.000400682,123.217
2000,0,0.0254,39.6,0.000428464,130.026
3150,0,0.0254,39.6,0.000428464,133.276
6300,0,0.0254,39.6,0.000428464,136.826
12500,0,0.0254,39.6,0.000428464,129.116
1600,0,0.0254,31.7,0.000439472,129.267
2500,0,0.0254,31.7,0.000439472,132.897
10000,0,0.0254,31.7,0.000439472,134.227
2500,4.8,0.0254,71.3,0.000848633,130.828
4000,4.8,0.0254,71.3,0.000848633,134.928
16000,4.8,0.0254,55.5,0.000873218,124.394
4000,4.8,0.0254,39.6,0.000907475,134.996
630,4.8,0.0254,31.7,0.000930789,120.078
1000,4.8,0.0254,31.7,0.000930789,125.348
2000,4.8,0.0254,31.7,0.000930789,130.148
5000,4.8,0.0254,31.7,0.000930789,135.248
5000,9.5,0.0254,71.3,0.00420654,131.186
2500,9.5,0.0254,55.5,0.0043284,134.152
6300,9.5,0.0254,39.6,0.00449821,120.324
630,9.5,0.0254,31.7,0.00461377,129.006
1600,9.5,0.0254,31.7,0.00461377,131.036
4000,9.5,0.0254,31.7,0.00461377,126.736
1000,12.7,0.0254,71.3,0.0121808,131.698
1250,12.7,0.0254,71.3,0.0121808,133.048
10000,12.7,0.0254,71.3,0.0121808,114.418
6300,12.7,0.0254,39.6,0.0130253,123.177
400,17.4,0.0254,71.3,0.016104,117.396
1250,17.4,0.0254,71.3,0.016104,126.356
250,17.4,0.0254,55.5,0.0165706,110.491
500,17.4,0.0254,31.7,0.0176631,127.676
800,17.4,0.0254,31.7,0.0176631,139.226
1250,17.4,0.0254,31.7,0.0176631,128.306
5000,22.2,0.0254,39.6,0.0229028,118.816
2000,0,0.1016,71.3,0.00121072,132.095
5000,0,0.1016,71.3,0.00121072,130.795
630,0,0.1016,55.5,0.00131983,126.17
2500,0,0.1016,55.5,0.00131983,133.04
8000,0,0.1016,55.5,0.00131983,124.45
10000,0,0.1016,55.5,0.00131983,121.93
2000,0,0.1016,31.7,0.00150092,133.153
1000,3.3,0.1016,71.3,0.00202822,131.434
1250,3.3,0.1016,71.3,0.00202822,132.304
1600,3.3,0.1016,71.3,0.00202822,133.664
2000,3.3,0.1016,71.3,0.00202822,134.034
6300,3.3,0.1016,71.3,0.00202822,124.904
1250,3.3,0.1016,55.5,0.002211,132.769
6300,3.3,0.1016,55.5,0.002211,123.839
4000,3.3,0.1016,39.6,0.00245138,124.881
10000,3.3,0.1016,39.6,0.00245138,115.321
1250,6.7,0.1016,71.3,0.00478288,137.658
2000,6.7,0.1016,71.3,0.00478288,134.568
2500,6.7,0.1016,71.3,0.00478288,131.458
1250,6.7,0.1016,55.5,0.0052139,136.883
500,6.7,0.1016,39.6,0.00578076,130.955
800,6.7,0.1016,31.7,0.00592927,132.886
1250,8.9,0.1016,71.3,0.0103088,132.793
315,8.9,0.1016,39.6,0.0124596,135.38
500,8.9,0.1016,39.6,0.0124596,133.79
630,8.9,0.1016,39.6,0.0124596,131.92
1250,8.9,0.1016,39.6,0.0124596,127.71
2000,8.9,0.1016,39.6,0.0124596,119.04
4000,8.9,0.1016,39.6,0.0124596,116.22
800,12.3,0.1016,71.3,0.0337792,127.318
1000,12.3,0.1016,71.3,0.0337792,127.928
200,12.3,0.1016,55.5,0.0368233,132.304
500,12.3,0.1016,55.5,0.0368233,133.774
3150,12.3,0.1016,55.5,0.0368233,116.914
1250,12.3,0.1016,39.6,0.0408268,121.165
5000,12.3,0.1016,39.6,0.0408268,108.625
250,12.3,0.1016,31.7,0.0418756,125.857
400,12.3,0.1016,31.7,0.0418756,123.207
200,15.6,0.1016,71.3,0.0437259,130.898
1000,15.6,0.1016,39.6,0.0528487,119.224
2000,15.6,0.1016,39.6,0.0528487,110.894
5000,15.6,0.1016,39.6,0.0528487,106.224
