6,,,,
5,,,,
pilot,student,2016,128501,15971
pilot,student,2015,122729,14580
pilot,student,2014,120546,14369
pilot,student,2013,120285,14405
pilot,student,2012,119946,14643
pilot,student,2011,118657,14683
pilot,commercial,2016,96081,6081
pilot,commercial,2015,101164,6587
pilot,commercial,2014,104322,6685
pilot,commercial,2013,108206,6911
pilot,commercial,2012,116400,7536
pilot,commercial,2011,120865,7956
pilot,private,2016,162313,10009
pilot,private,2015,170718,11339
pilot,private,2014,174883,11652
pilot,private,2013,180214,11909
pilot,private,2012,188001,12456
pilot,private,2011,194441,12927
non-pilot,flight attendant,2016,212607,169170
non-pilot,flight attendant,2015,200319,159703
non-pilot,flight attendant,2014,188936,150941
non-pilot,flight attendant,2013,179531,143701
non-pilot,flight attendant,2012,172357,138223
non-pilot,flight attendant,2011,167037,134114
non-pilot,mechanic,2016,279435,6536
non-pilot,mechanic,2015,342528,8419
non-pilot,mechanic,2014,341409,8151
non-pilot,mechanic,2013,338844,7917
non-pilot,mechanic,2012,337775,7729
non-pilot,mechanic,2011,335431,7487